title,volume,year,floor,row,section,notes
Archivio Italiano delle Malattie dell'Apparato Digerente,16-37,1950-73,CPR,,,
Archivio Italiano di Anatomia e di Embriologia,1-53,1902-1949,3rd Floor,Row I,,
Archivio Italiano di Anatomia e di Embriologia,54-93,1949-88,CPR,,,
Archivio Italiano di Anatomia e Istologia Patologica,1-21,1930-1949,3rd Floor,Row I,,
Archivio Italiano di Anatomia e Istologia Patologica,22-45,1949-74,CPR,,,
Archivio Italiano di Chirurgia,88,1962,7th Floor,Row J,,
Archivio Italiano di Chirurgia,73-100,1960-76,CPR,,,
Archivio Italiano di Chirurgia,1-72,1919-1949,3rd Floor,Row I,,
Archivio Italiano di Clinica Medica,32-34,,3rd Floor,Row I,,
Archivio Italiano di Ginecologia,1-17,,3rd Floor,Row I,,
Archivio Italiano di Medicina Interna,3-4,,3rd Floor,Row I,,
Archivio Italiano di Medicina Sperimentale,"2-4 + index to 1,3",,3rd Floor,Row I,,
"Archivio Italiano di Otologia, Rinologia e Laringologia",1-60,1893-1949,3rd Floor,Row I,,
"Archivio Italiano di Otologia, Rinologia e Laringologia",60-82,1949-71,CPR,,,
"Archivio Italiano di Otologia, Rinologia-Laringologia e Patologia Cervico-Facciale (cont. from above title) + Supp. 1-53",75-77,,CPR,,,
Archivio Italiano di Patologia e Clinica dei Tumori,1-15,1957-72,CPR,,,
Archivio Italiano di Pediatria,7-12,,3rd Floor,Row I,,
Archivio Italiano di Pediatria e Puericoltura (not in the OPAC),14-26,1950-68,CPR,,,
Archivio Italiano di Pediatria e Puericultura,1-13,1932-1949,3rd Floor,Row I,,
Archivio Italiano di Psicologia,1-20,,3rd Floor,Row I,,
Archivio Italiano di Scienza Mediche Coloniali e di Parassitologia,16-29,,3rd Floor,Row I,,
Archivio Italiano di Scienza Mediche Tropicali e di Parassitologia,31-54,1950-78,CPR,,,
Archivio Italiano di Urologia e Nefrologia,40,1967,7th Floor,Row J,,
"Archivio Italiano per le Malattie della Trachea, Bronchi, Esofago",1-8,,3rd Floor,Row I,,
Archivio per le Scienze Mediche,1-23 ,1876-1899,3rd Floor,"End Range I, North End Side 1",,
Archivio per le Scienze Mediche,24-80,1900-1949,3rd Floor,"Start Range J, North End Side 1",,
Archivio per le Scienze Mediche,89-140,1950-83,CPR,,,
Archivio Stomatologico,2,1961,7th Floor,Row J,,
Archivio Veterinario Italiano,"1,6","1950,55",7th Floor,Row J,,
Archivo da Clinica Pediatria Faculdade de Med. Do Porto,2,1931-1934,3rd Floor,Row J,,
Archivo De Anatomia E Anthropologia,1-4,1912-1918,3rd Floor,Row J,,
Archivo De Medicina Legal,1-8,,3rd Floor,Row J,,
Archivo Delle Scienze Medico-Fische Toscane,1,,3rd Floor,Row J,,
"Archivo di Antropologia Criminale, Psichiatria, Medicina Legale e Scienze Affini",30-69,,3rd Floor,Row I,,
Archivo Espanol De Morfologia,1-12,1941-9149,3rd Floor,Row J,,
Archivo Espanol de Morfologia (includes supplement),8-21,1950-67,7th Floor,Row J,,
Archivo Ophthalmotherapico De Lisboa,1-8,1880-1887,3rd Floor,Row J,,
Archivo Per Lo Studio Della Fisiopatologia E Clinica Del Ricambio,1-11,,3rd Floor,Row J,,
Archivo Y Revista De Hospitales,1-12,,3rd Floor,Row J,,
Archivos Americanos De Medicina,1-24,,3rd Floor,Row J,,
Archivos Argentinos de Dermatologia,2-5,1952-55,7th Floor,Row J,,
Archivos Argentinos De Enfermedades Del Aparato Digestivo,1-22,1925-1947,3rd Floor,Row J,,
Archivos Argentinos de Enfermedades del Aparato Digestivo,34,1959,7th Floor,Row J,,
Archivos Argentinos De Enfermedades Del Aparato Respiratorio Y Tuberculosis,1-10,,3rd Floor,Row J,,
Archivos Argentinos De Neurologia,1-22,,3rd Floor,Row J,,
Archivos Argentinos De Pediatria,1-20,1930-1949,3rd Floor,Row J,,
Archivos Argentinos de Pediatria,33-70,1950-72,7th Floor,Row J,,
Archivos Argentinos de Reumatologia,13-36,1950-72,7th Floor,Row J,,
Archivos Argentinos De Tisiologia,14-24,1938-1948,3rd Floor,Row J,,
Archivos Argentinos de Tisiologia,26-38,1950-62,7th Floor,Row J,,
Archivos Argentinos de Tisiologia y Neumonologia,39-44,1963-71,7th Floor,Row J,,
Archivos Bolivianos De Medicina,1-6,,3rd Floor,Row J,,
Archivos Brasileiros de Hygiene Mental Rio De Janeiro,1-13,,3rd Floor,Row J,,
Archivos Brasileiros De Medicina,1-39,1911-1949,3rd Floor,Row J,,
Archivos Brasileiros de Medicina,40-41,1950-51,7th Floor,Row J,,
Archivos Brasileiros de Neuriatria e Psychiatria,"4-14,25",,3rd Floor,Row J,,
"Archivos Brasileiros de Psychiatria, Neurologia",1-3,,3rd Floor,Row J,,
Archivos Chilenos De Morfologia,1-7,,3rd Floor,Row J,,
Archivos Chilenos de Morfologia,8,1954,7th Floor,Row J,,
Archivos chilenos de oftalmologia,4-23,,7th Floor,Row J,,
Archivos Cubanos de Cancerologia,1-8,1942-1949,3rd Floor,Row J,,
Archivos Cubanos de Cancerologia,9-18,1950-59,7th Floor,Row J,,
Archivos da Souedade de Medicina Legal e Criminologia de S.Paulo,1-11,1922-1940A,3rd Floor,Row J,,
Archivos De Biologia,1-9,,3rd Floor,Row J,,
Archivos de Biologia y Medicina Experimentales,1-6,1964-69,7th Floor,Row J,,
"Archivos de Bioquimica, Quimica y Farmacia Tucuman",11-14,1963-69,7th Floor,Row J,,
Archivos De Cardiologia Y Hematologia,1-17,,3rd Floor,Row J,,
Archivos de Clinica Oftalmlogicae Oto-Rino-Laringologica,1-5,,3rd Floor,Row J,,
"Archivos de Criminologia, Medicina Legal Y Psyquiatria",1,,3rd Floor,Row J,,
Archivos de Dermatologia e Syphiligraphiade Sao Paolo,1-3,,3rd Floor,Row J,,
Archivos de Ginecologia Y Obstetricia,1-5,1942-9148,3rd Floor,Row J,,
Archivos de Ginecologia y Obstetricia,8-22,1949-67,7th Floor,Row J,,
Archivos de Histologia Normal y Patologica,4-9,1950-65,7th Floor,Row J,,
Archivos de Hygeine e Pathologia Exoticas,1-3,,3rd Floor,Row J,,
Archivos de Hygiene (Rio de Janeiro),2-6,,3rd Floor,Row J,,
Archivos de Hygiene e Saude Publica,"1,3-4",,3rd Floor,Row J,,
Archivos de Investigacion Medica,15-17,1984-86,7th Floor,Row J,,
Archivos De La Asociacion Para Evitar La Ceguera En Mexico,2-7,1944-1949,3rd Floor,Row J,,
Archivos de la Asociacion para Evitar la Ceguera en Mexico,"8, 2nd Series 1,2,4",1952-62,7th Floor,Row J,,
Archivos de la Climica e Instituto de Endocrinologia,3,,3rd Floor,Row J,,
Archivos De La Clinica E Instituto De Endocrinologia,1-2,,3rd Floor,Row J,,
Archivos de la Clinica e Instituto de Endocrinologia,4,1947-50,7th Floor,Row J,,
Archivos De La Clinica Medica Del Profesor DR Juan Carlos PLA,2,,3rd Floor,Row J,,
Archivos de la Clinica Medica del Profesor Dr Juan Carlos PLA,4,1955-56,7th Floor,Row J,,
Archivos de la Clinica Obstetrica Y Ginecologica Elised Canton,1-4,,3rd Floor,Row J,,
Archivos de la Facultad de Ciencia Medicas Quito,,"19,401,945",3rd Floor,Row J,,
Archivos de la Facultad de Ciencias Medicas,"1,3",,3rd Floor,Row J,,
Archivos de la Facultad de Medicina de Madrid,4-18,1963-70,7th Floor,Row J,,
Archivos de la Facultad de Medicina de Zaragoza,1-3,,3rd Floor,Row J,,
Archivos de la Facultad de Medicina de Zaragoza,"7-16,19-23,39 n.2,3, 40 n.1, 41 n.2,3, 42 n.1,2 -42, 48 n.1",1959-2003,CPR,,,
Archivos de la Policlinica,1-8,,3rd Floor,Row J,,
Archivos de la Seccional de Ginecologia y Obstetricia del Hospital Pereira Rossell,1,,3rd Floor,Row J,,
Archivos de la Sociedad  Espanola de Oftalmologia,31-41,1971-81,CPR,,,
Archivos de la Sociedad Americana de Oftalmologia y Optometria,1-5,1958-66,7th Floor,Row J,,
Archivos de la Sociedad Argentina de Anatomia Normal y Patologica,1-10,,3rd Floor,Row J,,
Archivos de la Sociedad Cubana de Oftalmologia,1-5,1951-60,7th Floor,Row J,,
Archivos de la Sociedad de Biologia de Montevideo,1-12 (Supplement-2-7),,3rd Floor,Row J,,
Archivos de la Sociedad de Cirujanos de Chile,25-27,1973-75,7th Floor,Row J,,
Archivos de la Sociedad de Cirujanos de Chile,"1-3,5,8,10,12-15,19,21,25-27",1949-74,CPR,,,
Archivos de la Sociedad de Cirujanos de Hospital,1-18 (Supplement),,3rd Floor,Row J,,
Archivos de la Sociedad de Estudios Clinicos de la Habana,1-42,,3rd Floor,Row J,,
Archivos de la Sociedad de Estudios Clinicos de la Habana,43-52,1950-62,7th Floor,Row J,,
Archivos de la Sociedad Oftalmologica Hispano-Americana,"13,15,18-20,22,29-30",1953-70,CPR,,,
Archivos de la Universidad de Buenos Aires,25-27,1950-52,CPR,,,
Archivos de Las Enfermedades Del Corazon Y de Los Vasos,,1922-1949,3rd Floor,Row J,,
Archivos de las Enfermedades del Corazon y de los Vasos,50-64,1950-63,7th Floor,Row J,,
Archivos de Lepra,1-7,,3rd Floor,Row J,,
Archivos de Los Hospitales de la Sociedad de Beneficencia de Lacapital,1-2,,3rd Floor,Row J,,
Archivos de Medicina Experimental,11-12,,3rd Floor,Row J,,
Archivos de Medicina Experimental,26,1963,7th Floor,Row J,,
Archivos de Medicina Experimental: Trabajos del Instituto Nacional de Ciencias Medicas,13-26 n.1/2,1950-63,CPR,,,
Archivos de Medicina Infantil,1-18,1932-1949,3rd Floor,Row J,,
Archivos de Medicina Infantil,19-29,1950-60,7th Floor,Row J,,
Archivos de Medicina Interna (Havana),12-17,1952-57,7th Floor,Row J,,
Archivos de Medicina Internacional Antibioticos y Quimio-Terapicos,11,1952,7th Floor,Row J,,
Archivos de Medicina Legal,20,1950,7th Floor,Row J,,
"Archivos de Medicina, Cirugia Y Especialidades",1-39,,3rd Floor,Row J,,
Archivos de Neurocirugia,1-6,1944-1949,3rd Floor,Row J,,
Archivos de Neurocirugia,7-11,1950-54,7th Floor,Row J,,
Archivos de Neurologia y Psiquiatria,3-11,n/a,7th Floor,Row J,,
Archivos de Neurologia y Psiquiatria de Mexico,1-8,,3rd Floor,Row J,,
Archivos de Neuro-Psiquiatria (Habana),1,,3rd Floor,Row J,,
Archivos de Oftalmologia de Buenos Aires,1-24,,3rd Floor,Row J,,
Archivos de Oftalmologia de Buenos Aires,"25-35,38-49",1950-74,CPR,,,
Archivos de Oftalmologia Hispano-Americanos,1-36,,3rd Floor,Row J,,
Archivos de Pedagocia y Ciencias Afines,1-6,,3rd Floor,Row J,,
Archivos de Pediatria,N/A,1950-53,7th Floor,Row J,,
Archivos de Pediatria Del Uruguay,1-20,,3rd Floor,Row J,,
Archivos de Pediatria del Uruguay,21-53(4),1960-82,CPR,,,
Archivos de Pediatria Rio de Janeiro,14,,3rd Floor,Row J,,
Archivos de Policia e Identificacas,1,1936-1937,3rd Floor,Row J,,
Archivos de Psiquiatria y Criminologia Aplicados a Las Ciencias Afines,1-11,,3rd Floor,Row J,,
"Archivos de Rinologia, Laringologia, Otologia",17-18,,3rd Floor,Row J,,
Archivos de Tisiolgia y Pnemologia,1-2,,3rd Floor,Row J,,
Archivos de Tisiologia,5-13,,3rd Floor,Row J,,
Archivos Del Colegio Medico de el Salvador,1-2,,3rd Floor,Row J,,
Archivos del Colegio Medico de el Salvador,3-26,1950-73,7th Floor,Row J,,
Archivos del Hospital de Ninos Roberto del Rio,1-17,,3rd Floor,Row J,,
Archivos del Hospital de Ninos Roberto del Rio,18-23,1950-56,7th Floor,Row J,,
Archivos del Hospital Rosales,1-37,1906-1945,3rd Floor,Row J,,
Archivos del Hospital Santo Tomas,1-4,,3rd Floor,Row J,,
Archivos del Hospital Universitario,1,,3rd Floor,Row J,,
Archivos del Hospital Universitario,2-13,1950-61,CPR,,,
Archivos del Hospital Vargas,1-11,1959-69,7th Floor,Row J,,
Archivos del Instituto Andina,1-4,1965-71,7th Floor,Row J,,
Archivos del Instituto de Cardiologia de Mexico,14-19,1944-1949,3rd Floor,Row J,,
Archivos del Instituto de Cardiologia de Mexico,21-69,1951-99,7th Floor,Row J,,
Archivos del Instituto de Cirugia de la Provincia de Buenos Aires,1,,3rd Floor,Row J,,
Archivos del Instituto de Farmacologia Experimental,1,,3rd Floor,Row J,,
Archivos del Instituto de Farmacologia Experimental,13-17,1961-65,7th Floor,Row J,,
Archivos del Instituto de Medicina Practica de la Asociacion Dela Prensa Medica Espanola,2-13,,3rd Floor,Row J,,
Archivos del Instituto Municipal de Radiologia Y Fisioterapia,,1941,3rd Floor,Row J,,
Archivos del Instituto Nacional de Hidrologia Y Climatologia Medicas,1/2n1-2,,3rd Floor,Row J,,
Archivos del Instituto Nacional de Higiene de Alfonso X111,1-4,,3rd Floor,Row J,,
Archivos del Instituto Nacional de Radium,1n1,,3rd Floor,Row J,,
Archivos do Instituto Bacteriologico Camara Pestana,1-3,,3rd Floor,Row J,,
Archivos do Instituto Benjamin Baptista,1-3,,3rd Floor,Row J,,
Archivos do Instituto Biologico,1-8,,3rd Floor,Row J,,
Archivos do Instituto de Medicina Legal de Lisboa. Serie B,6,,3rd Floor,Row J,,
Archivos do Instituto Vital Brazil,1-4,1923-1927,3rd Floor,Row J,,
Archivos do Maricomio Judiciario do Rio de Janeiro,1-7,,3rd Floor,Row J,,
Archivos do Servico de vias Uminarias da Policlirica Geral do Rio de Janeiro,1-3,1930-1934,3rd Floor,Row J,,
Archivos Espanoles de Enfermedades Del Aparato Digestivo Y de la Nutricion,7-16,,3rd Floor,Row J,,
Archivos Espanoles de Medicina Interna,1-9,1955-63,7th Floor,Row J,,
Archivos Espanoles de Oncologia,"1,3",,3rd Floor,Row J,,
Archivos Espanolesde Pediatria,1-20,1917-1936,3rd Floor,Row J,,
Archivos Internacionales de la Hidatidosis,1-9,,3rd Floor,Row J,,
Archivos Internacionales de la Hidatidosis,12-24,1951-70,7th Floor,Row J,,
Archivos Latino-Americanos de Cardiologia Y Hematologia,1-13,,3rd Floor,Row J,,
Archivos Latino-Americanos de Pediatria,1-23,,3rd Floor,Row J,,
Archivos Latinoamericanossss de Nutricion,16-39,1966-89,CPR,,,
"Archivos Latinos de Rinologia, Laringologia Otologia",5-16,1894-1905,3rd Floor,Row J,,
Archivos Medicos de Barcelona,1-2,1956-57,7th Floor,Row J,,
Archivos Medicos de Cuba,3-8,1952-57,7th Floor,Row J,,
Archivos Medicos de San Lorenzo,1-2,1950-51,7th Floor,Row J,,
Archivos Medicos Mexicanos,1-7,1946,3rd Floor,Row J,,
Archivos Medicos Mexicanos,8-19,1950-61,7th Floor,Row J,,
Archivos Medicos Mexico,3,,3rd Floor,Row J,,
Archivos Medicos Panamenos,1-16,1952-67,7th Floor,Row J,,
Archivos Mexicanos de Neurologia y Psiquiatria,1-2,1951-54,7th Floor,Row J,,
Archivos Mexicanos de Venerea-Sitilis y Dermatologia (Asoc.Nac.de Venereologia) Mexico,1-5,,3rd Floor,Row J,,
Archivos Mexicanos de Venereologia y  Dermatologia,"13,16","1954, 1957",7th Floor,Row J,,
Archivos Mexicanos de Venereologia y Dermatologia,6-8,,3rd Floor,Row J,,
Archivos Odontologicos,1,,3rd Floor,Row J,,
Archivos Paranaenses de Medicina,1-5,,3rd Floor,Row J,,
Archivos Peruanos de Patologia y Clinica,1,,3rd Floor,Row J,,
Archivos Peruanos de Patologia y Clinica,3-26,1949-73,7th Floor,Row J,,
Archivos Rio-Grandense de Medicing,1-9,1920-1930,3rd Floor,Row J,,
Archivos Uruguayos de Cardiologia Montevideo,2,1936-1937,3rd Floor,Row J,,
Archivos Uruguayos de Gynecologia y Obstetricia,1,,3rd Floor,Row J,,
"Archivos Uruguayos de Medicina, Cirugia y Especialidades",52,1959,7th Floor,Row J,,
"Archivos Uruguayos de Medicina, Cirurgia y Especialdades",36-52 n.1-2,1950-59,CPR,,,
"Archivos Uruguayos de Medicina, Cirurgia y Especialidades",1-35,1932-1949,3rd Floor,Row J,,
Archivos Venezolanods de Medicina Tropical,1,,3rd Floor,Row J,,
Archivos Venezolanos de Cardiologia y Hematologia,1-2,,3rd Floor,Row J,,
Archivos Venezolanos de la Sociedad de Otorinololaringologia-Oftalmologia-Neurologia,1-8,,3rd Floor,Row J,,
Archivos Venezolanos de Medicina Tropical y Parasitologia Medica,3-4,1959-62,7th Floor,Row J,,
Archivos Venezolanos de Nutricion,1-15,1950-65,CPR,,,
Archivos Venezolanos de Patologia Tropical y Parasitologia Medica,1,,3rd Floor,Row J,,
Archivos Venezolanos de Patologia Tropical y Parasitologia Medica,2,1950-54,7th Floor,Row J,,
Archivos Venezolanos de Patologia Tropical y Parasitologia Medica,1,1948-49,CPR,,,
Archivos Venezolanos de Puericultura y Pediatria,1-24,1939-61,CPR,,,
Archivos Venezolanos de Puericultura y Pediatria,1-9,1930-1947,3rd Floor,Row J,,
Archivum Chirurgiae Oris,1-3,,3rd Floor,Row J,,
Archivum Chirurgicum Neerlandicum,"1,3",,3rd Floor,Row J,,
Archivum Chirurgicum Neerlandicum,1-31,1949-79,CPR,,,
Archivum Hydrobiologji I Rybactwa,1-12,,3rd Floor,Row J,,
Archivum Immunologiae et Therapiae Experimentalis,10-38,1962-90,CPR,,,
Archiwum Immunologii I Terapii Doswiadczalnej,1-9,1953-61,7th Floor,Row J,,
"Archiwum Medycyny Sadowej, Psychiatrii Sadowej, l Kryminal-Istyki","10,15-32",1958-82,CPR,,,
Archvio Italiano di Scienza Mediche Coloniali,1-15,,3rd Floor,Row I,,
"Archvios de Neurobiologia, Psicologia, Fisiologia, Histologia, Neurologia y Psiquiatria",1-15,,3rd Floor,Row J,,
Archvios Peruanos de Higiene Mental,1-5,,3rd Floor,Row J,,
Arcives de Biologie,1-60,,3rd Floor,Row F,,
Arcivos de la Universidad de Buenos Aires,1-24,1926-1949,3rd Floor,Row J,,
Areawide Planning,N/A,1964,7th Floor,Row J,,
Arhiv za Farmatsiju (Belgrade),1,1960,7th Floor,Row J,,
Arhiv za Higijenu Rada I Toksikologiju,"15, 26, 41","1954, 1975, 1990",7th Floor,Row J,,
Arhiv za Higijenu Rada I Toksikologiju,"1-7,9-41",1950-90,CPR,,,
Arhivele Romine de Epidemiologie si Microbiologie,1,1956,7th Floor,Row J,,
Arizona Medical Journal,,1916,3rd Floor,Row J,,
Arizona Medicine,1-6,1944-1949,3rd Floor,Row J,,
Arizona Medicine,7-42,1950-85,7th Floor,Row J,,
Arkansas Eclectic Medical Journal,1-3,,3rd Floor,Row J,,
Arkansas Medical Monthly,1,,3rd Floor,Row J,,
Arkansaw Doctor,1,,3rd Floor,Row J,,
Arkheia Maieutikes Kai Gynaokologias en Halladi,1-5,1952-56,7th Floor,Row J,,
"Arkhiv Anatomii, Gistologii I Embriologii",,1935-1940,3rd Floor,Row J,,
"Arkhiv Anatomii, Gistologii I Embriologii",30-77,1953-74,7th Floor,Row J,,
"Arkhiv Anatomii, Gistologii I Embriologii","30-42,44-97",1953-89,CPR,,,
Arkhiv Biologicheskikh Nauk,,1892-1941,3rd Floor,Row J,,
Arkhiv Meditsinskikh Nauk,1-2,,3rd Floor,Row J,,
Arkhiv Omskogo Meditsinskogo Instituta,193,,3rd Floor,Row J,,
Arkhiv Patologicheskoi Anatomii I Patologicheskoi Fiziologii,6,,3rd Floor,Row J,,
Arkhiv Patologii,,1946-1949,3rd Floor,Row J,,
Arkhiv Patologii,12-52,1950-90,CPR,,,
"Arkhiv Psikhiatrii, Nevrologii I Sudebnoi Psikhopatologii",19-22,,3rd Floor,Row J,,
Arkhiv Russkogo Protistologicheskogo Obshchestva,1-2,,3rd Floor,Row J,,
Arkhiv Teoreticheskoi I Prakticheskoi Meditsiny,1,,3rd Floor,Row J,,
Army and Navy Medical Record,,1913,3rd Floor,Row J,,
Army Dental Bulletin,13-14,,3rd Floor,Row J,,
Army Medical Bulletin,1-68,,3rd Floor,Row J,,
Army Medical Library News / Armed Forces Medical Library News,1-11,1945-56,7th Floor,Row J,,
Army Veterinary Bulletin,36-37,,3rd Floor,Row J,,
Arquivo da Clinica Pediatrica da Faculdade de Medicina do Porto,5,1947-53,7th Floor,Row J,,
Arquivo de Anatomia e Antropologia,5-26,1919-1949,3rd Floor,Row J,,
Arquivo de Anatomia e Antropologia (supplement bound with volume),27,1949-51,7th Floor,Row J,,
Arquivo de Obstetricia e Ginecologia,1-3,,3rd Floor,Row J,,
Arquivo de Patologia,1-21,1925-1949,3rd Floor,Row J,,
Arquivo de Patologia,"22-23,26-46",1950-74,CPR,,,
Arquivos Brasileiros de Cardiologia,1-2,1948-1949,3rd Floor,Row J,,
Arquivos Brasileiros de Cardiologia,"1-2; 3n.1,2,4; 4n.3,4; 5n.1-3; 6n.1,4; 7 n.1-3-9, 11-17, 19, 21,28,29-53,53",1948-,CPR,,,
Arquivos Brasileiros de Cirurgia e Ortopedia,3-12,,3rd Floor,Row J,,
Arquivos Brasileiros de Higiene Mental,14-15,,3rd Floor,Row J,,
Arquivos Brasileiros de Medicina Naval,3-9 ,1942-1948,3rd Floor,Row J,,
Arquivos Brasileiros de Neuriatria  e Psiquiatria,15-19,,3rd Floor,Row J,,
Arquivos Brasileiros de Oftalmologia,2-11,1939-1948,3rd Floor,Row J,,
Arquivos Brasileiros de Oftalmologia,12-52,1949-89,CPR,,,
Arquivos Brasilieros de Endocrinologia e Metabologia,5-21,1955-72,7th Floor,Row J,,
Arquivos Brasilieros de Medicina,42-55,1952-68,7th Floor,Row J,,
Arquivos Brasilieros de Medicina Naval,10-24,1949-63,7th Floor,Row J,,
Arquivos Brasilieros de Tuberculose e Doenacas do Torax,24-30,1965-71,7th Floor,Row J,,
Arquivos da Assistencia a Psicopatas do Estado de Sao Paulo,6-12,,3rd Floor,Row J,,
Arquivos da Assistencia a Psicopatas do Estado de Sao Paulo,7-15,1942-50,7th Floor,Row J,,
Arquivos da Assistencia Geral a Psicopatas do Estado de Sao Paulo,1-2,,3rd Floor,Row J,,
Arquivos da Clinica Pinel,1-3,1961-63,7th Floor,Row J,,
Arquivos da Escola Medico-Cirurgica de Goa: Serie A,1-14,,3rd Floor,Row J,,
Arquivos da Escola Medico-Cirurgica de Goa: Serie B,1-7,,3rd Floor,Row J,,
"Arquivos da Escola Medico-Cirurgica de Nova Goa, Serie B. Membria",no. 81938,,3rd Floor,Row I,,
Arquivos da Escola Medico-Cirurgica de Nova Goa. Serie A.,"30-31, 34","1957-58, 1961",7th Floor,Row J,,
Arquivos da Escola Nacional de Educacao Fisica e Desportos,,1945,3rd Floor,Row I,,
Arquivos da Faculdade de Higiene e Saude Publica da Universidade da Sao Paulo,1-20,1947-66,CPR,,,
Arquivos da Faculdade de Higiene e Saude Publica da Universidade de Sao Paulo,1-2,1947-1948,3rd Floor,Row J,,
Arquivos da Policia Civil de Sao Paulo,"2,4-14,16-18",1941-1949,3rd Floor,Row J,,
Arquivos da Policia Civil de Sao Paulo,19-22,1950-51,7th Floor,Row J,,
Arquivos da Sociedade de Medicina Legal Criminologia de S.Paulo,12-19,1941-1948,3rd Floor,Row J,,
Arquivos da Universidade da Bahia Faculdade de Medicina,1-4,1946-1949,3rd Floor,Row J,,
"Arquivos da Universidade da Bahia, Faculdade da Medicina",5-8,1950-52,7th Floor,Row J,,
Arquivos de Cirurgia Clinica e Experimental,1-7,,3rd Floor,Row J,,
Arquivos de Cirurgia Clinica e Experimental,13-29,1950-66,7th Floor,Row J,,
Arquivos de Cirurgia e Ortopedia,1-2,,3rd Floor,Row J,,
Arquivos de Clinica,1-9,1945-1949,3rd Floor,Row J,,
Arquivos de Clinica,1-13,1945-51,CPR,,,
Arquivos de Clinica Ginecologia,1-8,1946-55,CPR,,,
Arquivos de Clinica Ginecologica,1-2,1946-1948,3rd Floor,Row J,,
Arquivos de Clinica Medica,1-3,,3rd Floor,Row J,,
Arquivos de Clinica Medica Porto,N/A,1952-56,7th Floor,Row J,,
Arquivos de Clinica Oftalmologica e Oto-rino-laringologica,7,1953,7th Floor,Row J,,
Arquivos de Dermatologia e Sifiligrafia de Sao Paulo,10-20,1946-58,7th Floor,Row J,,
Arquivos de Dermatologia et Sifiligrafia de Sao Paulo,1-9,,3rd Floor,Row J,,
Arquivos de Gastroenterologia,1-25,1964-88,CPR,,,
Arquivos de Higiene,7-19,1937-1949,3rd Floor,Row J,,
Arquivos de Higiene (Rio de Janeiro),12,1942-1943,3rd Floor,Row I,,
Arquivos de Higiene e Patologia Exoticas,4-7,1913-1926,3rd Floor,Row J,,
Arquivos de Higiene e Saude Publica,4-14,1939-1949,3rd Floor,Row J,,
Arquivos de Higiene e Saude Publica,15-29,1950-64,7th Floor,Row J,,
Arquivos de Medicina Legal e Indentificacao,6-18,,3rd Floor,Row J,,
Arquivos de Neuro-Psiquiatria,1-7,1943-1949,3rd Floor,Row J,,
Arquivos de Neuro-Psiquiatria,1-48,1943-90,CPR,,,
Arquivos de Pediatria,15-22,1942-1949,3rd Floor,Row J,,
Arquivos de Pediatria,22-36,1949-64,7th Floor,Row J,,
Arquivos de Pediatria e Orthopedia,1-2,,3rd Floor,Row J,,
"Arquivos do Centro de Estudos, Fundacao do Ensino Medico de Sergipe",11-15,1962-67,7th Floor,Row J,,
"Arquivos do Centro de Estudos, Hospital de Cirurgia",8-11,1959-62,7th Floor,Row J,,
Arquivos do Departamento de Assistencia a Psicopatas do Estado de Sao Paulo,16-27,1951-61,7th Floor,Row J,,
Arquivos do Ibit,12-13,1953-54,7th Floor,Row J,,
Arquivos do Ibit,12-23,1953-64,CPR,,,
Arquivos do Insituto de Biologia do Exercito,5-9,1938-1948,3rd Floor,Row J,,
Arquivos do Instituto Bacteriologico Camara Pestana,4-9,1913-1949,3rd Floor,Row J,,
Arquivos do Instituto Bacteriologico Camara Pestana,10-11,1950-72,7th Floor,Row J,,
Arquivos do Instituto Benjamin Baptista,4-10,1938-1944,3rd Floor,Row J,,
Arquivos do Instituto Bioligico,9-18,1938-1948,3rd Floor,Row J,,
Arquivos do Instituto Biologico,39-40,1972-73,7th Floor,Row J,,
Arquivos do Instituto Biologico,19-54,1948-87,CPR,,,
Arquivos do Instituto Brasileiro Para Investigacao da Tuberculose,"3,7 ","1939, 1948",3rd Floor,Row J,,
Arquivos do Instituto Brasileiro para Investigacao da Tuberculose,10,1951,7th Floor,Row J,,
Arquivos do Instituto de Anatomia,1-8,1957-68,7th Floor,Row J,,
Arquivos do Instituto de Biologia do Exercito,10-13,1953,7th Floor,Row J,,
Arquivos do Instituto Medico-Legal et do Gabinete de Indentificacao,"1,4-5",1931-1932,3rd Floor,Row J,,
Arquivos do Instituto Militar de Biologia,4,,3rd Floor,Row J,,
Arquivos do Instituto Penido Burnier,"2-5,8",1933-1939,3rd Floor,Row J,,
Arquivos do Instituto Penido Burnier,"9-10, 17","1952-53, 1960",7th Floor,Row J,,
Arquivos do Manicomio Judiciario do Rio de Janeiro,13-30,1949-61,7th Floor,Row J,,
Arquivos do Manicomio Judiciario Heitor Carrilho,25-26,1956-57,7th Floor,Row J,,
Arquivos do Servico de Assistencia a Psicopatas de Estado de S.Paulo,3-5,1938-1940,3rd Floor,Row J,,
Arquivos do Servico Nacional de Doencas Mentais,,1941-1943,3rd Floor,Row J,,
Arquivos do Servico Nacional de Lepra,1-6,1943-1948,3rd Floor,Row J,,
Arquivos do Sociedade de Medicina Legal e Criminologia de Sao Paulo,20-28,1949-59,7th Floor,Row J,,
Arquivos dos Hospitais da Santa Casa de Sao Paulo,16-17,1970-71,7th Floor,Row J,,
Arquivos dos Hospitais da Santa Casa de Sao Paulo,1-17,1954-71,CPR,,,
Arquivos Indo-Portugueses de Medicina e Historia Natural,,1921-1927,3rd Floor,Row J,,
